"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"TETCO M3 BASIS - ICE FUTURES ENERGY DIV",260113,2026-01-13,0233CH,IFED,01,023 ,  165477,   93752,  109940,   40415,   35322,    8916,    7598,       0,     354,     764,    2511,     850,  152649,  157893,   12828,    7584,  165477,   93752,  109940,   40415,   35322,    8916,    7598,       0,     354,     764,    2511,     850,  152649,  157893,   12828,    7584,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    5332,    1151,    2721,    1277,    3099,    2378,    1183,       0,    -155,      28,     214,       0,    5862,    8257,    -530,   -2925,  100.0,   56.7,   66.4,   24.4,   21.3,    5.4,    4.6,    0.0,    0.2,    0.5,    1.5,    0.5,   92.2,   95.4,    7.8,    4.6,  100.0,   56.7,   66.4,   24.4,   21.3,    5.4,    4.6,    0.0,    0.2,    0.5,    1.5,    0.5,   92.2,   95.4,    7.8,    4.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     45,     18,     18,      5,      7,      5,      4,      0,.,.,.,.,     33,     30,     45,     18,     18,      5,      7,      5,      4,      0,.,.,.,.,     33,     30,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    43.3,    37.5,    67.3,    56.0,    40.9,    37.5,    63.7,    54.3,    43.3,    37.5,    67.3,    56.0,    40.9,    37.5,    63.7,    54.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mm btu","0233CH","IFED","023 ","N13","FutOnly"
"TETCO M3 BASIS - ICE FUTURES ENERGY DIV",260106,2026-01-06,0233CH,IFED,01,023 ,  160145,   92601,  107219,   39138,   32223,    6538,    6415,       0,     509,     736,    2297,     850,  146787,  149636,   13358,   10509,  160145,   92601,  107219,   39138,   32223,    6538,    6415,       0,     509,     736,    2297,     850,  146787,  149636,   13358,   10509,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -16335,   -9782,  -10723,   -3218,   -2629,   -1088,    -449,       0,     233,     -82,   -1270,    -397,  -14783,  -15874,   -1552,    -461,  100.0,   57.8,   67.0,   24.4,   20.1,    4.1,    4.0,    0.0,    0.3,    0.5,    1.4,    0.5,   91.7,   93.4,    8.3,    6.6,  100.0,   57.8,   67.0,   24.4,   20.1,    4.1,    4.0,    0.0,    0.3,    0.5,    1.4,    0.5,   91.7,   93.4,    8.3,    6.6,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     43,     18,     19,      5,      6,      4,.,      0,.,.,.,.,     31,     31,     43,     18,     19,      5,      6,      4,.,      0,.,.,.,.,     31,     31,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    43.8,    37.2,    67.6,    56.9,    40.9,    37.2,    64.6,    54.8,    43.8,    37.2,    67.6,    56.9,    40.9,    37.2,    64.6,    54.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mm btu","0233CH","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260414,2026-04-14,0233CM,IFED,01,023 ,  177074,  157892,   88699,    5594,   73928,    1434,    1812,       0,       0,       0,       0,       0,  166732,  164061,   10342,   13013,  177074,  157892,   88699,    5594,   73928,    1434,    1812,       0,       0,       0,       0,       0,  166732,  164061,   10342,   13013,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    5088,    3490,    3992,       0,    -334,     -30,    1812,       0,       0,       0,       0,       0,    5272,    3628,    -184,    1460,  100.0,   89.2,   50.1,    3.2,   41.7,    0.8,    1.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.2,   92.7,    5.8,    7.3,  100.0,   89.2,   50.1,    3.2,   41.7,    0.8,    1.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.2,   92.7,    5.8,    7.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     30,     19,      9,.,      4,      4,.,      0,      0,      0,      0,      0,     24,     15,     30,     19,      9,.,      4,      4,.,      0,      0,      0,      0,      0,     24,     15,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    54.3,    76.7,    77.1,    87.7,    54.3,    76.2,    76.4,    85.6,    54.3,    76.7,    77.1,    87.7,    54.3,    76.2,    76.4,    85.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260407,2026-04-07,0233CM,IFED,01,023 ,  171986,  154402,   84707,    5594,   74262,    1464,       0,       0,       0,       0,       0,       0,  161460,  160433,   10526,   11553,  171986,  154402,   84707,    5594,   74262,    1464,       0,       0,       0,       0,       0,       0,  161460,  160433,   10526,   11553,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -10066,   -7283,   -3221,    -488,   -6530,    -149,       0,       0,       0,       0,       0,       0,   -7920,   -9900,   -2146,    -166,  100.0,   89.8,   49.3,    3.3,   43.2,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.9,   93.3,    6.1,    6.7,  100.0,   89.8,   49.3,    3.3,   43.2,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.9,   93.3,    6.1,    6.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     27,     17,      7,.,      4,      4,      0,      0,      0,      0,      0,      0,     21,     13,     27,     17,      7,.,      4,      4,      0,      0,      0,      0,      0,      0,     21,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    55.2,    79.2,    78.9,    89.1,    55.2,    78.7,    78.9,    87.7,    55.2,    79.2,    78.9,    89.1,    55.2,    78.7,    78.9,    87.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260331,2026-03-31,0233CM,IFED,01,023 ,  182052,  161685,   87928,    6082,   80792,    1613,       0,       0,       0,       0,       0,       0,  169380,  170333,   12672,   11719,  182052,  161685,   87928,    6082,   80792,    1613,       0,       0,       0,       0,       0,       0,  169380,  170333,   12672,   11719,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1947,    1676,       1,     120,    1976,     -30,       0,       0,       0,       0,       0,       0,    1766,    1947,     181,       0,  100.0,   88.8,   48.3,    3.3,   44.4,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.0,   93.6,    7.0,    6.4,  100.0,   88.8,   48.3,    3.3,   44.4,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.0,   93.6,    7.0,    6.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,     16,      7,.,      4,      4,      0,      0,      0,      0,      0,      0,     20,     13,     26,     16,      7,.,      4,      4,      0,      0,      0,      0,      0,      0,     20,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    53.4,    79.7,    77.8,    90.7,    53.0,    79.2,    77.4,    89.1,    53.4,    79.7,    77.8,    90.7,    53.0,    79.2,    77.4,    89.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260324,2026-03-24,0233CM,IFED,01,023 ,  180105,  160009,   87927,    5962,   78816,    1643,       0,       0,       0,       0,       0,       0,  167614,  168386,   12491,   11719,  180105,  160009,   87927,    5962,   78816,    1643,       0,       0,       0,       0,       0,       0,  167614,  168386,   12491,   11719,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4325,    3812,    2069,   -1036,    1830,     151,       0,       0,       0,       0,       0,       0,    2927,    4050,    1398,     275,  100.0,   88.8,   48.8,    3.3,   43.8,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.1,   93.5,    6.9,    6.5,  100.0,   88.8,   48.8,    3.3,   43.8,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.1,   93.5,    6.9,    6.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,     16,      7,.,      4,      4,      0,      0,      0,      0,      0,      0,     20,     13,     26,     16,      7,.,      4,      4,      0,      0,      0,      0,      0,      0,     20,     13,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    54.0,    79.4,    78.4,    90.6,    53.6,    78.9,    77.7,    89.0,    54.0,    79.4,    78.4,    90.6,    53.6,    78.9,    77.7,    89.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260317,2026-03-17,0233CM,IFED,01,023 ,  175780,  156197,   85858,    6998,   76986,    1492,       0,       0,       0,       0,       0,       0,  164687,  164336,   11093,   11444,  175780,  156197,   85858,    6998,   76986,    1492,       0,       0,       0,       0,       0,       0,  164687,  164336,   11093,   11444,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     917,   -1039,     214,       0,     -30,      30,       0,       0,       0,       0,       0,       0,   -1009,     214,    1926,     703,  100.0,   88.9,   48.8,    4.0,   43.8,    0.8,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.7,   93.5,    6.3,    6.5,  100.0,   88.9,   48.8,    4.0,   43.8,    0.8,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   93.7,   93.5,    6.3,    6.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,     17,      8,.,      4,      4,      0,      0,      0,      0,      0,      0,     21,     14,     26,     17,      8,.,      4,      4,      0,      0,      0,      0,      0,      0,     21,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    54.8,    79.6,    79.8,    90.5,    54.3,    79.1,    79.1,    88.9,    54.8,    79.6,    79.8,    90.5,    54.3,    79.1,    79.1,    88.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260310,2026-03-10,0233CM,IFED,01,023 ,  174863,  157236,   85644,    6998,   77016,    1462,       0,       0,       0,       0,       0,       0,  165696,  164122,    9167,   10741,  174863,  157236,   85644,    6998,   77016,    1462,       0,       0,       0,       0,       0,       0,  165696,  164122,    9167,   10741,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -14110,  -10939,   -6173,    -694,   -9899,    -837,   -3117,       0,     -93,       0,       0,       0,  -15680,  -17002,    1570,    2892,  100.0,   89.9,   49.0,    4.0,   44.0,    0.8,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.8,   93.9,    5.2,    6.1,  100.0,   89.9,   49.0,    4.0,   44.0,    0.8,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   94.8,   93.9,    5.2,    6.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,     16,      8,.,      4,      4,      0,      0,      0,      0,      0,      0,     20,     14,     25,     16,      8,.,      4,      4,      0,      0,      0,      0,      0,      0,     20,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    55.1,    79.9,    80.2,    90.9,    54.6,    79.4,    79.5,    89.5,    55.1,    79.9,    80.2,    90.9,    54.6,    79.4,    79.5,    89.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260303,2026-03-03,0233CM,IFED,01,023 ,  188973,  168175,   91817,    7692,   86915,    2299,    3117,       0,      93,       0,       0,       0,  181376,  181124,    7597,    7849,  188973,  168175,   91817,    7692,   86915,    2299,    3117,       0,      93,       0,       0,       0,  181376,  181124,    7597,    7849,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3020,    2316,     428,     214,    1246,       0,       0,       0,       0,       0,       0,       0,    2530,    1674,     490,    1346,  100.0,   89.0,   48.6,    4.1,   46.0,    1.2,    1.6,    0.0,    0.0,    0.0,    0.0,    0.0,   96.0,   95.8,    4.0,    4.2,  100.0,   89.0,   48.6,    4.1,   46.0,    1.2,    1.6,    0.0,    0.0,    0.0,    0.0,    0.0,   96.0,   95.8,    4.0,    4.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,     20,     14,.,      6,      4,.,      0,.,      0,      0,      0,     26,     23,     34,     20,     14,.,      6,      4,.,      0,.,      0,      0,      0,     26,     23,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    52.5,    78.4,    76.4,    89.1,    52.1,    77.7,    75.7,    87.6,    52.5,    78.4,    76.4,    89.1,    52.1,    77.7,    75.7,    87.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260224,2026-02-24,0233CM,IFED,01,023 ,  185953,  165859,   91389,    7478,   85669,    2299,    3117,       0,      93,       0,       0,       0,  178846,  179450,    7107,    6503,  185953,  165859,   91389,    7478,   85669,    2299,    3117,       0,      93,       0,       0,       0,  178846,  179450,    7107,    6503,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3657,    1465,    3722,     732,    -881,       0,       0,       0,       0,       0,       0,       0,    2197,    2841,    1460,     816,  100.0,   89.2,   49.1,    4.0,   46.1,    1.2,    1.7,    0.0,    0.0,    0.0,    0.0,    0.0,   96.2,   96.5,    3.8,    3.5,  100.0,   89.2,   49.1,    4.0,   46.1,    1.2,    1.7,    0.0,    0.0,    0.0,    0.0,    0.0,   96.2,   96.5,    3.8,    3.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,     20,     14,.,      6,      4,.,      0,.,      0,      0,      0,     26,     23,     34,     20,     14,.,      6,      4,.,      0,.,      0,      0,      0,     26,     23,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    53.4,    79.1,    77.6,    89.7,    52.9,    78.4,    76.9,    88.0,    53.4,    79.1,    77.6,    89.7,    52.9,    78.4,    76.9,    88.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260217,2026-02-17,0233CM,IFED,01,023 ,  182296,  164394,   87667,    6746,   86550,    2299,    3117,       0,      93,       0,       0,       0,  176649,  176609,    5647,    5687,  182296,  164394,   87667,    6746,   86550,    2299,    3117,       0,      93,       0,       0,       0,  176649,  176609,    5647,    5687,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2798,    2984,    -155,       0,    2067,      31,       0,       0,       0,       0,       0,       0,    3015,    1943,    -217,     855,  100.0,   90.2,   48.1,    3.7,   47.5,    1.3,    1.7,    0.0,    0.1,    0.0,    0.0,    0.0,   96.9,   96.9,    3.1,    3.1,  100.0,   90.2,   48.1,    3.7,   47.5,    1.3,    1.7,    0.0,    0.1,    0.0,    0.0,    0.0,   96.9,   96.9,    3.1,    3.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,     20,     15,.,      6,      4,.,      0,.,      0,      0,      0,     26,     24,     34,     20,     15,.,      6,      4,.,      0,.,      0,      0,      0,     26,     24,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    54.4,    79.3,    79.3,    90.0,    54.0,    78.6,    78.6,    88.5,    54.4,    79.3,    79.3,    90.0,    54.0,    78.6,    78.6,    88.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260210,2026-02-10,0233CM,IFED,01,023 ,  179498,  161410,   87822,    6746,   84483,    2268,    3117,       0,      93,       0,       0,       0,  173634,  174666,    5864,    4832,  179498,  161410,   87822,    6746,   84483,    2268,    3117,       0,      93,       0,       0,       0,  173634,  174666,    5864,    4832,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -13883,  -12299,   -7414,    -336,   -5107,    -466,   -1372,       0,       0,       0,       0,       0,  -14473,  -12987,     590,    -896,  100.0,   89.9,   48.9,    3.8,   47.1,    1.3,    1.7,    0.0,    0.1,    0.0,    0.0,    0.0,   96.7,   97.3,    3.3,    2.7,  100.0,   89.9,   48.9,    3.8,   47.1,    1.3,    1.7,    0.0,    0.1,    0.0,    0.0,    0.0,   96.7,   97.3,    3.3,    2.7,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,     20,     15,.,      6,      4,.,      0,.,      0,      0,      0,     26,     24,     34,     20,     15,.,      6,      4,.,      0,.,      0,      0,      0,     26,     24,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    54.6,    79.3,    79.3,    90.2,    54.2,    78.6,    78.5,    88.8,    54.6,    79.3,    79.3,    90.2,    54.2,    78.6,    78.5,    88.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
"TGT ZONE 1 BASIS - ICE FUTURES ENERGY DIV",260203,2026-02-03,0233CM,IFED,01,023 ,  193381,  173709,   95236,    7082,   89590,    2734,    4489,       0,      93,       0,       0,       0,  188107,  187653,    5274,    5728,  193381,  173709,   95236,    7082,   89590,    2734,    4489,       0,      93,       0,       0,       0,  188107,  187653,    5274,    5728,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   25446,   24910,   23389,       0,    1780,      92,    -551,       0,       0,       0,       0,       0,   24451,   25261,     995,     185,  100.0,   89.8,   49.2,    3.7,   46.3,    1.4,    2.3,    0.0,    0.0,    0.0,    0.0,    0.0,   97.3,   97.0,    2.7,    3.0,  100.0,   89.8,   49.2,    3.7,   46.3,    1.4,    2.3,    0.0,    0.0,    0.0,    0.0,    0.0,   97.3,   97.0,    2.7,    3.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     40,     24,     20,.,      6,      4,.,      0,.,      0,      0,      0,     31,     29,     40,     24,     20,.,      6,      4,.,      0,.,      0,      0,      0,     31,     29,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    53.0,    75.8,    76.6,    86.8,    52.6,    74.9,    75.7,    84.4,    53.0,    75.8,    76.6,    86.8,    52.6,    74.9,    75.7,    84.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 MMBtus","0233CM","IFED","023 ","N13","FutOnly"
